np,distance,SEQ,dir.hor,dir.ver,id
62391146,9.375930404,0.004875415,0,0,var1
45456206,9.424060826,0.004870923,0,0,var1
64913050,9.475541,0.00487617,0,0,var1
53617742,9.524174262,0.004871377,0,0,var1
58981170,9.574031988,0.004879306,0,0,var1
53116952,9.623963764,0.004877785,0,0,var1
63226552,9.674289074,0.004877324,0,0,var1
56417070,9.724228702,0.004882196,0,0,var1
51585944,9.773542587,0.004878353,0,0,var1
70185224,9.824370366,0.004881479,0,0,var1
55990542,9.875568137,0.004884937,0,0,var1
60675110,9.928519444,0.004885495,0,0,var1
56359102,9.974204477,0.004886623,0,0,var1
58274996,10.02235828,0.004886399,0,0,var1
59684768,10.07239256,0.004886942,0,0,var1
66870636,10.12639101,0.00489052,0,0,var1
57599166,10.17564029,0.004887288,0,0,var1
56035192,10.22420681,0.004894621,0,0,var1
67927628,10.27672708,0.004889545,0,0,var1
57057336,10.3220938,0.004892754,0,0,var1
60574688,10.37354778,0.00489738,0,0,var1
65997882,10.42399118,0.004892734,0,0,var1
67116772,10.4764491,0.004897718,0,0,var1
55278552,10.52643843,0.00489529,0,0,var1
60280054,10.57327134,0.004897794,0,0,var1
70868104,10.62355353,0.0048955,0,0,var1
58274688,10.67638987,0.004899879,0,0,var1
66996406,10.72751953,0.004897845,0,0,var1
69209174,10.77648411,0.004900821,0,0,var1
52383276,10.82465927,0.004898833,0,0,var1
73871988,10.87529048,0.004898679,0,0,var1
63299740,10.92718352,0.004899904,0,0,var1
63206254,10.97612747,0.004899084,0,0,var1
63948714,11.02666124,0.004902152,0,0,var1
69891658,11.07634375,0.004897449,0,0,var1
56951492,11.12397712,0.004901008,0,0,var1
57393878,11.17016506,0.004898988,0,0,var1
83328722,11.22155871,0.004901685,0,0,var1
61248126,11.27401143,0.004900964,0,0,var1
73186024,11.32793547,0.004900971,0,0,var1
59849128,11.37432473,0.004902632,0,0,var1
73600966,11.42460777,0.004899446,0,0,var1
62224022,11.47584114,0.004902373,0,0,var1
70892718,11.52606964,0.004902167,0,0,var1
69428540,11.57506537,0.004902059,0,0,var1
59018546,11.62387107,0.004902099,0,0,var1
78581740,11.67518104,0.004902181,0,0,var1
66778450,11.7235533,0.004899801,0,0,var1
68790496,11.77688219,0.004904347,0,0,var1
68770964,11.82380161,0.004904753,0,0,var1
71001558,11.87484076,0.004902832,0,0,var1
64621768,11.92288948,0.004902869,0,0,var1
73612048,11.97474599,0.004904501,0,0,var1
74169604,12.02315257,0.004905931,0,0,var1
68739152,12.07606261,0.004904788,0,0,var1
73690200,12.1287568,0.004908264,0,0,var1
71222600,12.17471467,0.00490719,0,0,var1
63373532,12.22360519,0.004905483,0,0,var1
75386730,12.27159997,0.004912522,0,0,var1
82062214,12.32687152,0.004908951,0,0,var1
64146346,12.37608519,0.004910927,0,0,var1
69868176,12.42575778,0.004909577,0,0,var1
76449318,12.47348786,0.004913946,0,0,var1
71844000,12.5237533,0.00491053,0,0,var1
75305050,12.57716896,0.00491242,0,0,var1
72606620,12.62419394,0.004916546,0,0,var1
72353866,12.67255972,0.004913438,0,0,var1
