np,distance,MRE,dir.hor,dir.ver,id
64695967,11.32548051,0.01063498,0,0,var1
71970418,11.37296512,0.010626479,0,0,var1
70143342,11.42681089,0.010626969,0,0,var1
61211210,11.47617268,0.010622289,0,0,var1
70867908,11.52407049,0.010633872,0,0,var1
66788912,11.574202,0.010625611,0,0,var1
67157653,11.62616366,0.010629097,0,0,var1
69503534,11.67269648,0.010627365,0,0,var1
72666940,11.72592122,0.010627161,0,0,var1
62480342,11.77508657,0.010631658,0,0,var1
74382250,11.82443275,0.010630247,0,0,var1
69214956,11.87530269,0.010626112,0,0,var1
68637665,11.9256512,0.010628901,0,0,var1
68702034,11.97406143,0.010628935,0,0,var1
71735478,12.02511496,0.010634614,0,0,var1
72565808,12.074386,0.010627038,0,0,var1
67504912,12.12597918,0.010631864,0,0,var1
76619862,12.17567324,0.010640418,0,0,var1
72062119,12.22721027,0.010637614,0,0,var1
57141302,12.2734158,0.010623614,0,0,var1
87026872,12.32401526,0.010652622,0,0,var1
68245118,12.37517738,0.010636948,0,0,var1
62798354,12.4244729,0.010635931,0,0,var1
86121200,12.47382105,0.010657082,0,0,var1
69429626,12.52529639,0.010642357,0,0,var1
66450744,12.57583886,0.010643193,0,0,var1
82130748,12.6239839,0.010658002,0,0,var1
71807057,12.67443823,0.010644845,0,0,var1
70169688,12.72534374,0.010645398,0,0,var1
78508792,12.77436473,0.010665182,0,0,var1
73005856,12.82264853,0.010643072,0,0,var1
66190968,12.87320879,0.010647087,0,0,var1
88244150,12.92281666,0.010663079,0,0,var1
67563569,12.97381705,0.010642122,0,0,var1
75868566,13.02214346,0.010640336,0,0,var1
78174918,13.07350978,0.010664349,0,0,var1
85390002,13.12590852,0.010648378,0,0,var1
58794024,13.17496715,0.010631464,0,0,var1
88864322,13.22190426,0.010655515,0,0,var1
74362353,13.27532342,0.010643244,0,0,var1
77793008,13.32585586,0.010642426,0,0,var1
75940178,13.37415215,0.010637991,0,0,var1
83146148,13.42580052,0.010643225,0,0,var1
78863598,13.47749409,0.010641458,0,0,var1
72794270,13.527078,0.010636516,0,0,var1
77383983,13.57514017,0.010638563,0,0,var1
82628014,13.62463486,0.010637065,0,0,var1
75771230,13.6752733,0.010628813,0,0,var1
84173606,13.72798116,0.0106425,0,0,var1
73242338,13.77456388,0.010622724,0,0,var1
76750922,13.82354895,0.010635919,0,0,var1
86110429,13.87463047,0.010640648,0,0,var1
79131524,13.92474717,0.010636098,0,0,var1
74189168,13.97456625,0.010630605,0,0,var1
83677804,14.02350574,0.010633347,0,0,var1
83072746,14.07176648,0.010644388,0,0,var1
75716400,14.12498298,0.010645002,0,0,var1
93329765,14.17618944,0.010631674,0,0,var1
76957958,14.22482155,0.010642899,0,0,var1
76496552,14.27409302,0.010648944,0,0,var1
89232992,14.32586065,0.010641586,0,0,var1
85556442,14.37574681,0.010643025,0,0,var1
71610220,14.42547655,0.010653257,0,0,var1
92658121,14.47453717,0.010650792,0,0,var1
84883344,14.52700254,0.010653609,0,0,var1
77381888,14.57722642,0.010654464,0,0,var1
89500764,14.62651644,0.010656986,0,0,var1
83126090,14.67671045,0.010655017,0,0,var1
78092538,14.72618756,0.010660875,0,0,var1
90546965,14.77607594,0.010664105,0,0,var1
78092318,14.82492207,0.010653823,0,0,var1
89389514,14.87504705,0.01067197,0,0,var1
89300814,14.92704096,0.010661509,0,0,var1
80501838,14.97831023,0.010669121,0,0,var1
